Disease,Symptoms,Severity,Description,Precautions
Common Cold,fever;cough;sore_throat;runny_nose;tiredness;congestion,Mild,A mild viral infection affecting the upper respiratory tract.,Rest;Hydrate;Avoid cold exposure;Steam inhalation
Flu,fever;cough;chills;headache;body_ache;fatigue;sore_throat,Moderate,A viral respiratory infection causing fever and fatigue.,Rest;Hydrate;Monitor fever
COVID-19,fever;cough;loss_of_smell;loss_of_taste;fatigue;shortness_of_breath;chills,Severe,A contagious viral infection affecting the respiratory system.,Isolation;Wear mask;Monitor oxygen;Seek medical care
Pneumonia,fever;cough;chest_pain;phlegm;shortness_of_breath;fatigue,Severe,Lung infection causing breathing difficulty and chest discomfort.,Antibiotics;Hydration;Rest;Doctor follow-up
Bronchitis,cough;phlegm;wheezing;chest_congestion;fatigue,Moderate,Inflammation of bronchial tubes causing mucus buildup and cough.,Avoid smoking;Steam inhalation;Rest
Asthma,wheezing;shortness_of_breath;cough;chest_tightness,Chronic,Chronic airway inflammation causing wheezing and breathlessness.,Inhaler;Avoid allergens;Breathing exercises
Sinusitis,facial_pain;headache;blocked_nose;congestion;fever;cough,Mild,Sinus cavity inflammation leading to facial pressure and headache.,Steam inhalation;Decongestant;Rest
Laryngitis,hoarse_voice;sore_throat;fever;dry_cough,Mild,Voice box inflammation causing hoarseness and throat irritation.,Voice rest;Warm fluids
Tuberculosis,fever;chronic_cough;night_sweats;weight_loss;chest_pain,Severe,Bacterial infection of lungs that spreads through air.,Antibiotics;Regular treatment;Avoid close contact
Whooping Cough,severe_cough;vomiting;runny_nose;fatigue,Moderate,Bacterial infection causing uncontrollable coughs.,Antibiotics;Rest
Pleurisy,chest_pain;shortness_of_breath;fever;cough,Severe,Inflammation of the lung lining causing sharp chest pain.,Pain relief;Rest;Treat underlying cause
Gastritis,stomach_pain;nausea;vomiting;bloating;indigestion,Moderate,Stomach lining inflammation often from infection or stress.,Avoid spicy foods;Eat small meals;Hydrate
Gastroenteritis,diarrhea;vomiting;abdominal_cramps;fever,Moderate,Intestinal infection causing diarrhea and cramps.,ORS;Rest;Avoid street food
Food Poisoning,diarrhea;vomiting;fever;stomach_pain;cramps,Moderate,Illness caused by contaminated food or water.,Drink ORS;Avoid junk food;Rest
Irritable Bowel Syndrome,abdominal_pain;bloating;constipation;diarrhea,Chronic,Digestive disorder causing abdominal discomfort.,Fiber diet;Stress management
Peptic Ulcer,stomach_pain;burning_sensation;nausea;vomiting,Moderate,Stomach lining erosion from acid.,Avoid caffeine;Medication
Appendicitis,abdominal_pain;nausea;vomiting;fever;loss_of_appetite,Severe,Inflammation of the appendix causing severe lower-right pain.,Surgery;Avoid food intake
Hepatitis,fever;jaundice;fatigue;abdominal_pain;dark_urine,Severe,Liver inflammation from viral infection or toxins.,Avoid alcohol;Rest;Doctor care
Gallstones,abdominal_pain;nausea;vomiting;jaundice,Severe,Hardened bile deposits causing gallbladder pain.,Low-fat diet;Surgery
Pancreatitis,severe_abdominal_pain;nausea;vomiting;fever,Severe,Pancreas inflammation often due to alcohol or gallstones.,No alcohol;Hospital treatment
Constipation,hard_stools;abdominal_discomfort;bloating;fatigue,Mild,Difficulty in passing stool regularly.,Fiber-rich diet;Hydration
Acid Reflux (GERD),heartburn;chest_pain;acid_reflux;nausea,Chronic,Backflow of acid from stomach into esophagus.,Eat small meals;Avoid spicy foods;Don’t lie after eating
Heart Attack,chest_pain;shortness_of_breath;nausea;sweating;pain_left_arm,Severe,Blockage of coronary artery causing tissue death.,Call emergency;Aspirin;Rest
Hypertension,headache;dizziness;fatigue;chest_pain,Chronic,Persistently high blood pressure causing heart strain.,Low-salt diet;Exercise
Arrhythmia,palpitations;dizziness;shortness_of_breath;fatigue,Moderate,Irregular heartbeat leading to fainting or tiredness.,ECG check;Avoid caffeine
Atherosclerosis,chest_pain;fatigue;shortness_of_breath,Chronic,Hardening of arteries causing reduced blood flow.,Exercise;Diet control
Stroke,headache;weakness;slurred_speech;confusion;numbness,Severe,Loss of brain blood flow causing paralysis.,Emergency help;Rehabilitation
Anemia,fatigue;pale_skin;shortness_of_breath;weakness,Moderate,Low hemoglobin or red blood cell levels.,Iron-rich diet;Supplements
Angina,chest_pain;fatigue;shortness_of_breath,Severe,Reduced blood flow to the heart causing chest pain. It often precedes heart attack if untreated.,Avoid exertion;Take nitrates;Monitor ECG
Cardiomyopathy,shortness_of_breath;fatigue;swelling;irregular_heartbeat,Severe,A disease of the heart muscle that makes it harder to pump blood. It may lead to heart failure.,Medication;Avoid alcohol;Limit salt
Pericarditis,chest_pain;fever;fatigue;cough,Severe,Inflammation of the pericardial sac surrounding the heart. Causes sharp chest pain that worsens when lying down.,Pain relief;Rest;Monitor ECG
Deep Vein Thrombosis,leg_pain;swelling;redness,Severe,"Blood clot formation in deep veins, usually legs. It can travel to lungs causing embolism.",Avoid long sitting;Compression socks;Anticoagulants
Varicose Veins,leg_pain;swelling;itching;visible_veins,Mild,"Enlarged, twisted veins caused by weak valves. They commonly appear in legs and worsen after standing long.",Exercise;Elevate legs;Avoid tight clothes
Endocarditis,fever;fatigue;chest_pain;shortness_of_breath,Severe,Infection of the inner lining of the heart chambers or valves. It’s often bacterial and requires antibiotics.,Antibiotics;Hospitalization;Avoid IV drug use
Peripheral Artery Disease,leg_pain;cramps;numbness;weakness,Chronic,Narrowing of arteries reduces blood supply to limbs. It can cause pain while walking.,Exercise;Quit smoking;Medication
Aortic Aneurysm,back_pain;abdominal_pain;pulsating_mass;fatigue,Severe,A bulging weak spot in the aorta that can rupture. Immediate surgical attention is required if detected.,Monitor blood pressure;Surgery;Avoid heavy lifting
Pulmonary Embolism,shortness_of_breath;chest_pain;rapid_heartbeat;cough,Severe,A blood clot blocking arteries in the lungs. It’s a life-threatening emergency requiring prompt care.,Hospitalization;Blood thinners;Avoid immobility
Heart Failure,fatigue;breathlessness;swelling;weight_gain,Chronic,"The heart fails to pump blood efficiently, leading to fluid buildup. It can result from long-term hypertension or heart disease.",Low-salt diet;Medication;Rest
Migraine,headache;nausea;vomiting;light_sensitivity;fatigue,Moderate,Severe throbbing headache due to nerve inflammation.,Avoid triggers;Rest;Hydration
Epilepsy,seizures;confusion;fainting;stiffness;unconsciousness,Chronic,Brain disorder with recurrent seizures.,Medication;Avoid flashing lights
Vertigo,dizziness;loss_of_balance;nausea;unsteady_walk,Moderate,Sensation of spinning or imbalance.,Rest;Avoid sudden movement
Parkinson’s Disease,tremors;stiffness;slow_movement;shaking;balance_problems,Chronic,Brain disorder causing tremors and stiffness.,Medication;Physiotherapy
Alzheimer’s Disease,memory_loss;confusion;disorientation;irritability,Chronic,Progressive brain disease causing memory decline.,Supportive care
Multiple Sclerosis,weakness;numbness;blurred_vision;fatigue;imbalance,Chronic,Autoimmune disease damaging nerve coverings.,Physiotherapy;Medication
Meningitis,fever;stiff_neck;headache;nausea;sensitivity_to_light,Severe,Inflammation of membranes surrounding brain and spine.,Hospitalization;Antibiotics
Brain Tumor,headache;nausea;vomiting;confusion;seizures,Severe,Abnormal growth of brain cells causing pressure and neurological deficits. Symptoms depend on tumor location.,Surgery;Radiation therapy;Regular monitoring
Encephalitis,fever;headache;seizures;confusion;stiff_neck,Severe,Inflammation of the brain due to viral infection. It requires urgent medical treatment to prevent damage.,Hospitalization;Antivirals;Hydration
Bell’s Palsy,facial_droop;weakness;tearing;ear_pain,Mild,Sudden paralysis of facial muscles due to nerve inflammation. Usually resolves within weeks with treatment.,Physical therapy;Protect eye;Medication
Guillain-Barre Syndrome,weakness;numbness;tingling;paralysis,Severe,An autoimmune condition attacking peripheral nerves. It may progress rapidly and affect breathing.,Hospitalization;IVIG therapy;Monitor breathing
Carpal Tunnel Syndrome,hand_pain;numbness;tingling;weak_grip,Mild,Compression of the median nerve in the wrist causing pain and numbness. Common in repetitive hand movements.,Wrist splint;Physiotherapy;Avoid strain
Peripheral Neuropathy,numbness;tingling;burning_sensation;weakness,Chronic,Damage to peripheral nerves causing pain or loss of sensation. Diabetes and toxins are common causes.,Monitor glucose;Pain relief;Vitamin supplements
ALS (Motor Neuron Disease),weakness;speech_difficulty;muscle_wasting,Severe,A degenerative nerve disorder leading to muscle paralysis. Gradual progression affects speaking and breathing.,Physiotherapy;Assistive devices;Palliative care
Cerebral Palsy,muscle_stiffness;poor_coordination;speech_difficulty,Chronic,A group of disorders affecting movement and posture from birth injury. It’s non-progressive but lifelong.,Physiotherapy;Occupational therapy;Supportive care
Narcolepsy,excessive_sleepiness;hallucinations;cataplexy;fatigue,Chronic,A neurological sleep disorder causing sudden sleep attacks. It affects concentration and safety.,Regular sleep schedule;Medication;Avoid caffeine
Dementia,memory_loss;confusion;disorientation;agitation,Chronic,A group of conditions causing decline in cognitive ability. Alzheimer’s is the most common cause.,Cognitive therapy;Safe environment;Support
Fungal Infection,itching;skin_rash;redness;scaling,Mild,Fungal growth on skin or scalp causing irritation.,Keep clean;Antifungal cream
Eczema,itching;dry_skin;inflammation;cracks,Chronic,Skin condition causing dryness and redness.,Moisturize;Avoid soap
Contact Dermatitis,itching;burning;redness;blisters,Mild,Skin reaction to irritants or allergens.,Avoid irritant;Use cream
Acne,pimples;greasy_skin;inflammation;blackheads,Mild,Blocked pores leading to bacterial infection.,Wash face;Avoid oil;Topical cream
Sunburn,redness;pain;blistering;swelling,Mild,Skin injury from UV radiation.,Cool compress;Aloe vera;Avoid sun
Diabetes,excessive_thirst;frequent_urination;fatigue;weight_loss;blurred_vision,Chronic,High blood sugar due to insulin deficiency.,Diet;Exercise;Medication
Hypothyroidism,fatigue;weight_gain;hair_loss;cold_intolerance,Chronic,Underactive thyroid causing low metabolism.,Medication;Balanced diet
Hyperthyroidism,weight_loss;anxiety;rapid_heartbeat;sweating;irritability,Chronic,Overactive thyroid increasing metabolism.,Medication;Avoid caffeine
PCOS,irregular_periods;weight_gain;hair_loss;acne,Chronic,Hormonal disorder in women causing infertility.,Exercise;Balanced diet
Obesity,weight_gain;fatigue;joint_pain;breathlessness,Chronic,Excessive body fat increasing health risks.,Exercise;Diet;Lifestyle control
Addison’s Disease,fatigue;weight_loss;low_blood_pressure;dizziness,Chronic,"A rare endocrine disorder where adrenal glands don’t produce enough hormones. It causes weakness, dehydration, and salt craving.",Corticosteroid therapy;Adequate salt intake;Regular medical follow-up
Cushing’s Syndrome,weight_gain;round_face;muscle_weakness;fatigue,Chronic,Excess cortisol in the body due to tumor or medication. It leads to central obesity and fragile skin.,Medication;Surgery if tumor;Monitor hormones
Acromegaly,headache;enlarged_hands;fatigue;joint_pain,Chronic,Excess growth hormone secretion usually from pituitary tumor. It causes abnormal bone and tissue growth.,Surgery;Hormone therapy;Monitor pituitary levels
Pheochromocytoma,high_blood_pressure;headache;sweating;palpitations,Severe,A rare adrenal gland tumor that produces excess adrenaline. It can trigger dangerous spikes in blood pressure.,Surgery;Monitor BP;Avoid stress
