Disease,Symptoms,Severity,Description,Precautions
# ------------------ RESPIRATORY ------------------
Common Cold,fever;cough;sore_throat;runny_nose;tiredness;congestion, Mild, A mild viral infection affecting the upper respiratory tract., Rest;Hydrate;Avoid cold exposure;Steam inhalation
Flu,fever;cough;chills;headache;body_ache;fatigue;sore_throat, Moderate, A viral respiratory infection causing fever and fatigue., Rest;Hydrate;Monitor fever
COVID-19,fever;cough;loss_of_smell;loss_of_taste;fatigue;shortness_of_breath;chills, Severe, A contagious viral infection affecting the respiratory system., Isolation;Wear mask;Monitor oxygen;Seek medical care
Pneumonia,fever;cough;chest_pain;phlegm;shortness_of_breath;fatigue, Severe, Lung infection causing breathing difficulty and chest discomfort., Antibiotics;Hydration;Rest;Doctor follow-up
Bronchitis,cough;phlegm;wheezing;chest_congestion;fatigue, Moderate, Inflammation of bronchial tubes causing mucus buildup and cough., Avoid smoking;Steam inhalation;Rest
Asthma,wheezing;shortness_of_breath;cough;chest_tightness, Chronic, Chronic airway inflammation causing wheezing and breathlessness., Inhaler;Avoid allergens;Breathing exercises
Sinusitis,facial_pain;headache;blocked_nose;congestion;fever;cough, Mild, Sinus cavity inflammation leading to facial pressure and headache., Steam inhalation;Decongestant;Rest
Laryngitis,hoarse_voice;sore_throat;fever;dry_cough, Mild, Voice box inflammation causing hoarseness and throat irritation., Voice rest;Warm fluids
Tuberculosis,fever;chronic_cough;night_sweats;weight_loss;chest_pain, Severe, Bacterial infection of lungs that spreads through air., Antibiotics;Regular treatment;Avoid close contact
Whooping Cough,severe_cough;vomiting;runny_nose;fatigue, Moderate, Bacterial infection causing uncontrollable coughs., Antibiotics;Rest
Pleurisy,chest_pain;shortness_of_breath;fever;cough, Severe, Inflammation of the lung lining causing sharp chest pain., Pain relief;Rest;Treat underlying cause

# ------------------ GASTROINTESTINAL ------------------
Gastritis,stomach_pain;nausea;vomiting;bloating;indigestion, Moderate, Stomach lining inflammation often from infection or stress., Avoid spicy foods;Eat small meals;Hydrate
Gastroenteritis,diarrhea;vomiting;abdominal_cramps;fever, Moderate, Intestinal infection causing diarrhea and cramps., ORS;Rest;Avoid street food
Food Poisoning,diarrhea;vomiting;fever;stomach_pain;cramps, Moderate, Illness caused by contaminated food or water., Drink ORS;Avoid junk food;Rest
Irritable Bowel Syndrome,abdominal_pain;bloating;constipation;diarrhea, Chronic, Digestive disorder causing abdominal discomfort., Fiber diet;Stress management
Peptic Ulcer,stomach_pain;burning_sensation;nausea;vomiting, Moderate, Stomach lining erosion from acid., Avoid caffeine;Medication
Appendicitis,abdominal_pain;nausea;vomiting;fever;loss_of_appetite, Severe, Inflammation of the appendix causing severe lower-right pain., Surgery;Avoid food intake
Hepatitis,fever;jaundice;fatigue;abdominal_pain;dark_urine, Severe, Liver inflammation from viral infection or toxins., Avoid alcohol;Rest;Doctor care
Gallstones,abdominal_pain;nausea;vomiting;jaundice, Severe, Hardened bile deposits causing gallbladder pain., Low-fat diet;Surgery
Pancreatitis,severe_abdominal_pain;nausea;vomiting;fever, Severe, Pancreas inflammation often due to alcohol or gallstones., No alcohol;Hospital treatment
Constipation,hard_stools;abdominal_discomfort;bloating;fatigue, Mild, Difficulty in passing stool regularly., Fiber-rich diet;Hydration
Acid Reflux (GERD),heartburn;chest_pain;acid_reflux;nausea, Chronic, Backflow of acid from stomach into esophagus., Eat small meals;Avoid spicy foods;Don’t lie after eating

# ------------------ CARDIOVASCULAR ------------------
Heart Attack,chest_pain;shortness_of_breath;nausea;sweating;pain_left_arm, Severe, Blockage of coronary artery causing tissue death., Call emergency;Aspirin;Rest
Hypertension,headache;dizziness;fatigue;chest_pain, Chronic, Persistently high blood pressure causing heart strain., Low-salt diet;Exercise
Arrhythmia,palpitations;dizziness;shortness_of_breath;fatigue, Moderate, Irregular heartbeat leading to fainting or tiredness., ECG check;Avoid caffeine
Atherosclerosis,chest_pain;fatigue;shortness_of_breath, Chronic, Hardening of arteries causing reduced blood flow., Exercise;Diet control
Stroke,headache;weakness;slurred_speech;confusion;numbness, Severe, Loss of brain blood flow causing paralysis., Emergency help;Rehabilitation
Anemia,fatigue;pale_skin;shortness_of_breath;weakness, Moderate, Low hemoglobin or red blood cell levels., Iron-rich diet;Supplements
Angina,chest_pain;fatigue;shortness_of_breath,Severe,"Reduced blood flow to the heart causing chest pain. It often precedes heart attack if untreated.","Avoid exertion;Take nitrates;Monitor ECG"
Cardiomyopathy,shortness_of_breath;fatigue;swelling;irregular_heartbeat,Severe,"A disease of the heart muscle that makes it harder to pump blood. It may lead to heart failure.","Medication;Avoid alcohol;Limit salt"
Pericarditis,chest_pain;fever;fatigue;cough,Severe,"Inflammation of the pericardial sac surrounding the heart. Causes sharp chest pain that worsens when lying down.","Pain relief;Rest;Monitor ECG"
Deep Vein Thrombosis,leg_pain;swelling;redness,Severe,"Blood clot formation in deep veins, usually legs. It can travel to lungs causing embolism.","Avoid long sitting;Compression socks;Anticoagulants"
Varicose Veins,leg_pain;swelling;itching;visible_veins,Mild,"Enlarged, twisted veins caused by weak valves. They commonly appear in legs and worsen after standing long.","Exercise;Elevate legs;Avoid tight clothes"
